# Pressure [P/P0], solid density profile, Adsorption [mmol/m2]
1.9700e-09,1.1400e+29,2.1704e+43
3.7690e-09,1.1400e+29,2.1704e+43
7.9360e-09,1.1400e+29,2.1704e+43
1.5730e-08,1.1400e+29,2.1704e+43
3.3110e-08,1.1400e+29,2.1704e+43
6.7740e-08,1.1400e+29,2.1704e+43
1.4460e-07,1.1400e+29,2.1704e+43
2.9010e-07,1.1400e+29,2.1704e+43
5.6610e-07,1.1400e+29,2.1704e+43
1.0620e-06,1.1400e+29,2.1704e+43
1.9390e-06,1.1400e+29,2.1704e+43
3.3540e-06,1.1400e+29,2.1704e+43
5.8880e-06,1.1400e+29,2.1704e+43
9.8360e-06,1.1400e+29,2.1704e+43
1.6860e-05,1.1400e+29,2.1704e+43
2.9900e-05,1.1400e+29,2.1704e+43
5.3650e-05,1.1400e+29,2.1704e+43
1.0210e-04,1.1400e+29,2.1704e+43
2.0000e-04,1.1400e+29,2.1704e+43
3.8660e-04,1.1400e+29,2.1704e+43
7.3530e-04,1.1400e+29,2.1704e+43
1.2650e-03,1.1400e+29,2.1704e+43
2.0930e-03,1.1400e+29,2.1704e+43
3.3020e-03,1.1400e+29,2.1704e+43
5.0130e-03,1.1400e+29,2.1704e+43
7.6650e-03,1.1400e+29,2.1704e+43
1.1070e-02,1.1400e+29,2.1704e+43
1.6100e-02,1.1400e+29,2.1704e+43
2.1060e-02,1.1400e+29,2.1704e+43
2.7340e-02,1.0796e+29,2.1704e+43
3.5260e-02,9.7469e+28,2.1704e+43
4.4830e-02,8.6979e+28,2.1704e+43
5.6080e-02,7.6490e+28,2.1704e+43
6.8990e-02,6.6000e+28,2.1704e+43
8.3210e-02,5.5510e+28,2.1704e+43
9.8770e-02,4.5021e+28,2.1704e+43
1.1600e-01,3.4531e+28,2.1704e+43
1.3510e-01,2.4042e+28,2.1704e+43
1.5530e-01,1.3552e+28,2.1704e+43
1.7660e-01,3.0629e+27,2.1704e+43
1.9930e-01,0.0000e+00,2.1704e+43
2.2360e-01,0.0000e+00,2.1704e+43
2.4830e-01,0.0000e+00,2.1704e+43
2.7370e-01,0.0000e+00,2.1704e+43
2.9980e-01,0.0000e+00,2.1704e+43
3.2630e-01,0.0000e+00,2.1704e+43
3.5260e-01,0.0000e+00,2.1704e+43
3.7910e-01,0.0000e+00,2.1704e+43
4.0530e-01,0.0000e+00,2.1704e+43
4.3090e-01,0.0000e+00,2.1704e+43
4.5620e-01,0.0000e+00,2.1704e+43
4.8070e-01,0.0000e+00,2.1704e+43
5.0460e-01,0.0000e+00,2.1704e+43
5.2770e-01,0.0000e+00,2.1704e+43
5.5000e-01,0.0000e+00,2.1704e+43
5.7140e-01,0.0000e+00,2.1704e+43
5.9210e-01,0.0000e+00,2.1704e+43
6.1190e-01,0.0000e+00,2.1704e+43
6.3100e-01,0.0000e+00,2.1704e+43
6.4930e-01,0.0000e+00,2.1704e+43
6.6680e-01,0.0000e+00,2.1704e+43
6.8340e-01,0.0000e+00,2.1704e+43
6.9940e-01,0.0000e+00,2.1704e+43
7.1460e-01,0.0000e+00,2.1704e+43
7.2900e-01,0.0000e+00,2.1704e+43
7.4280e-01,0.0000e+00,2.1704e+43
7.5580e-01,0.0000e+00,2.1704e+43
7.6810e-01,0.0000e+00,2.1704e+43
7.7980e-01,0.0000e+00,2.1704e+43
7.9080e-01,0.0000e+00,2.1704e+43
8.0130e-01,0.0000e+00,2.1704e+43
8.1120e-01,0.0000e+00,2.1704e+43
8.2050e-01,0.0000e+00,2.1704e+43
8.2940e-01,0.0000e+00,2.1704e+43
8.3770e-01,0.0000e+00,2.1704e+43
8.4560e-01,0.0000e+00,2.1704e+43
8.5310e-01,0.0000e+00,2.1704e+43
8.6020e-01,0.0000e+00,2.1704e+43
8.6680e-01,0.0000e+00,2.1704e+43
8.7320e-01,0.0000e+00,2.1704e+43
8.7920e-01,0.0000e+00,2.1704e+43
8.8480e-01,0.0000e+00,2.1704e+43
8.9020e-01,0.0000e+00,2.1704e+43
8.9530e-01,0.0000e+00,2.1704e+43
9.0010e-01,0.0000e+00,2.1704e+43
9.0460e-01,0.0000e+00,2.1704e+43
9.0900e-01,0.0000e+00,2.1704e+43
9.1300e-01,0.0000e+00,2.1704e+43
9.1690e-01,0.0000e+00,2.1704e+43
9.2050e-01,0.0000e+00,2.1704e+43
9.2400e-01,0.0000e+00,2.1704e+43
9.2730e-01,0.0000e+00,2.1704e+43
9.3040e-01,0.0000e+00,2.1704e+43
9.3340e-01,0.0000e+00,2.1704e+43
9.3620e-01,0.0000e+00,2.1704e+43
9.3880e-01,0.0000e+00,2.1704e+43
9.4140e-01,0.0000e+00,2.1704e+43
9.4380e-01,0.0000e+00,2.1704e+43
9.4600e-01,0.0000e+00,2.1704e+43
9.4820e-01,0.0000e+00,2.1704e+43
9.5020e-01,0.0000e+00,2.1704e+43
9.5220e-01,0.0000e+00,2.1704e+43
9.5400e-01,0.0000e+00,2.1704e+43
9.5580e-01,0.0000e+00,2.1704e+43
9.5750e-01,0.0000e+00,2.1704e+43
1.3660e-07,0.0000e+00,2.1704e+43
2.3680e-07,0.0000e+00,2.1704e+43
4.2920e-07,0.0000e+00,2.1704e+43
7.6160e-07,0.0000e+00,2.1704e+43
1.3750e-06,0.0000e+00,2.1704e+43
2.4770e-06,0.0000e+00,2.1704e+43
4.4300e-06,0.0000e+00,2.1704e+43
7.7700e-06,0.0000e+00,2.1704e+43
1.2950e-05,0.0000e+00,2.1704e+43
2.1240e-05,0.0000e+00,2.1704e+43
3.3930e-05,0.0000e+00,2.1704e+43
5.3100e-05,0.0000e+00,2.1704e+43
8.3280e-05,0.0000e+00,2.1704e+43
1.2780e-04,0.0000e+00,2.1704e+43
2.0100e-04,0.0000e+00,2.1704e+43
3.1800e-04,0.0000e+00,2.1704e+43
5.0790e-04,0.0000e+00,2.1704e+43
8.2740e-04,0.0000e+00,2.1704e+43
1.3390e-03,0.0000e+00,2.1704e+43
2.1230e-03,0.0000e+00,2.1704e+43
3.3390e-03,0.0000e+00,2.1704e+43
4.7370e-03,0.0000e+00,2.1704e+43
7.4540e-03,0.0000e+00,2.1704e+43
1.0110e-02,0.0000e+00,2.1704e+43
1.4170e-02,0.0000e+00,2.1704e+43
1.8910e-02,0.0000e+00,2.1704e+43
2.5340e-02,0.0000e+00,2.1704e+43
3.3340e-02,0.0000e+00,2.1704e+43
4.0720e-02,0.0000e+00,2.1704e+43
5.0770e-02,0.0000e+00,2.1704e+43
6.3060e-02,0.0000e+00,2.1704e+43
7.6410e-02,0.0000e+00,2.1704e+43
9.1110e-02,0.0000e+00,2.1704e+43
1.0700e-01,0.0000e+00,2.1704e+43
1.2420e-01,0.0000e+00,2.1704e+43
1.4290e-01,0.0000e+00,2.1704e+43
1.6280e-01,0.0000e+00,2.1704e+43
1.8370e-01,0.0000e+00,2.1704e+43
2.0520e-01,0.0000e+00,2.1704e+43
2.2790e-01,0.0000e+00,2.1704e+43
2.5140e-01,0.0000e+00,2.1704e+43
2.7540e-01,0.0000e+00,2.1704e+43
2.9970e-01,0.0000e+00,2.1704e+43
3.2450e-01,0.0000e+00,2.1704e+43
3.4930e-01,0.0000e+00,2.1704e+43
3.7440e-01,0.0000e+00,2.1704e+43
3.9910e-01,0.0000e+00,2.1704e+43
4.2370e-01,0.0000e+00,2.1704e+43
4.4800e-01,0.0000e+00,2.1704e+43
4.7160e-01,0.0000e+00,2.1704e+43
4.9480e-01,0.0000e+00,2.1704e+43
5.1720e-01,0.0000e+00,2.1704e+43
5.3900e-01,0.0000e+00,2.1704e+43
5.6010e-01,0.0000e+00,2.1704e+43
5.8040e-01,0.0000e+00,2.1704e+43
5.9980e-01,0.0000e+00,2.1704e+43
6.1850e-01,0.0000e+00,2.1704e+43
6.3650e-01,0.0000e+00,2.1704e+43
6.5370e-01,0.0000e+00,2.1704e+43
6.7020e-01,0.0000e+00,2.1704e+43
6.8600e-01,0.0000e+00,2.1704e+43
7.0100e-01,0.0000e+00,2.1704e+43
7.1540e-01,0.0000e+00,2.1704e+43
7.2920e-01,0.0000e+00,2.1704e+43
7.4230e-01,0.0000e+00,2.1704e+43
7.5480e-01,0.0000e+00,2.1704e+43
7.6670e-01,0.0000e+00,2.1704e+43
7.7800e-01,0.0000e+00,2.1704e+43
7.8880e-01,0.0000e+00,2.1704e+43
7.9900e-01,0.0000e+00,2.1704e+43
8.0870e-01,0.0000e+00,2.1704e+43
8.1780e-01,0.0000e+00,2.1704e+43
8.2650e-01,0.0000e+00,2.1704e+43
8.3480e-01,0.0000e+00,2.1704e+43
8.4260e-01,0.0000e+00,2.1704e+43
8.4990e-01,0.0000e+00,2.1704e+43
8.5690e-01,0.0000e+00,2.1704e+43
8.6360e-01,0.0000e+00,2.1704e+43
8.6990e-01,0.0000e+00,2.1704e+43
8.7580e-01,0.0000e+00,2.1704e+43
8.8150e-01,0.0000e+00,2.1704e+43
8.8690e-01,0.0000e+00,2.1704e+43
8.9200e-01,0.0000e+00,2.1704e+43
8.9680e-01,0.0000e+00,2.1704e+43
9.0140e-01,0.0000e+00,2.1704e+43
9.0580e-01,0.0000e+00,2.1704e+43
9.0990e-01,0.0000e+00,2.1704e+43
9.1380e-01,0.0000e+00,2.1704e+43
9.1760e-01,0.0000e+00,2.1704e+43
9.2110e-01,0.0000e+00,2.1704e+43
9.2450e-01,0.0000e+00,2.1704e+43
9.2770e-01,0.0000e+00,2.1704e+43
9.3070e-01,0.0000e+00,2.1704e+43
9.3360e-01,0.0000e+00,2.1704e+43
9.3630e-01,0.0000e+00,2.1704e+43
9.3890e-01,0.0000e+00,2.1704e+43
9.4130e-01,0.0000e+00,2.1704e+43
9.4370e-01,0.0000e+00,2.1704e+43
9.4590e-01,0.0000e+00,2.1704e+43
9.4800e-01,0.0000e+00,2.1704e+43
9.5000e-01,0.0000e+00,2.1704e+43
9.5200e-01,0.0000e+00,2.1704e+43
9.5380e-01,0.0000e+00,2.1704e+43
9.5550e-01,0.0000e+00,2.1704e+43
9.5720e-01,0.0000e+00,2.1704e+43
